"id","WT-1_fpkm","WT-2_fpkm","WT-3_fpkm","KO-1_fpkm","KO-2_fpkm","KO-3_fpkm","WT-12h-1_fpkm","WT-12h-2_fpkm","WT-12h-3_fpkm","WT-24h-1_fpkm","WT-24h-2_fpkm","WT-24h-3_fpkm","KO-12h-1_fpkm","KO-12h-2_fpkm","KO-12h-3_fpkm","KO-24h-1_fpkm","KO-24h-2_fpkm","KO-24h-3_fpkm","WT-1_count","WT-2_count","WT-3_count","KO-1_count","KO-2_count","KO-3_count","WT-12h-1_count","WT-12h-2_count","WT-12h-3_count","WT-24h-1_count","WT-24h-2_count","WT-24h-3_count","KO-12h-1_count","KO-12h-2_count","KO-12h-3_count","KO-24h-1_count","KO-24h-2_count","KO-24h-3_count","Symbol","Description","KEGG_A_class","KEGG_B_class","Pathway","K_ID","GO Component","GO Function","GO Process"
"C2R79_RS00170",21.56,14.87,13.76,43.13,33.47,55.7,71.09,78.65,61.58,44.29,50.6,40.66,92.04,103.78,102,69.71,50.12,54.18,52,34,57,68,74,84,320,234,207,183,203,187,148,156,185,170,94,108,"mog","molybdopterin adenylyltransferase [Helicobacter pylori]","Metabolism;Metabolism;Genetic Information Processing","Global and overview maps;Metabolism of cofactors and vitamins;Folding, sorting and degradation","ko01100//Metabolic pathways;ko00790//Folate biosynthesis;ko04122//Sulfur relay system","K03831;K03831;K03831","-","-","-"
"C2R79_RS00175",3.28,4.61,4.77,9.19,9.53,13.97,11.99,12.84,14.1,5.1,4.6,5.73,31.12,20.15,24.69,9.18,9.13,7.27,6,8,15,11,16,16,41,29,36,16,14,20,38,23,34,17,13,11,"moaE","molybdenum cofactor biosynthesis protein MoaE [Helicobacter pylori]","Metabolism;Metabolism;Genetic Information Processing","Global and overview maps;Metabolism of cofactors and vitamins;Folding, sorting and degradation","ko01100//Metabolic pathways;ko00790//Folate biosynthesis;ko04122//Sulfur relay system","K03635;K03635;K03635","-","-","-"
"C2R79_RS00185",16.07,18.22,18.48,45.48,42.07,32.13,130.01,128.96,125.38,55.34,53.13,52.03,159.69,141.17,162.93,96.95,89.37,73.88,40,43,79,74,96,50,604,396,435,236,220,247,265,219,305,244,173,152,"ribA","GTP cyclohydrolase II [Helicobacter pylori]","Metabolism;Metabolism;Metabolism;Cellular Processes;Metabolism","Global and overview maps;Global and overview maps;Metabolism of cofactors and vitamins;Cellular community - prokaryotes;Metabolism of cofactors and vitamins","ko01100//Metabolic pathways;ko01110//Biosynthesis of secondary metabolites;ko00790//Folate biosynthesis;ko02024//Quorum sensing;ko00740//Riboflavin metabolism","K01497;K01497;K01497;K01497;K01497","-","GO:0016787//hydrolase activity;GO:0036094//small molecule binding;GO:0046872//metal ion binding;GO:0097159//organic cyclic compound binding;GO:1901363//heterocyclic compound binding","-"
"C2R79_RS00190",18.83,21.91,27.58,62.7,53.77,59.35,101.93,97.19,103.11,94.4,90.39,84.36,157.84,139.51,154.28,133.1,129.61,149.76,68,75,171,148,178,134,687,433,519,584,543,581,380,314,419,486,364,447,"--","DUF3943 domain-containing protein [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS00195",88.98,80.37,78.92,172.94,204.96,186.55,334.76,348.5,335.54,309.34,327.62,327.25,449.69,445.34,452.44,507.67,538.96,537.28,396,339,603,503,836,519,2780,1913,2081,2358,2425,2777,1334,1235,1514,2284,1865,1976,"ribB","bifunctional 3,4-dihydroxy-2-butanone 4-phosphate synthase/GTP cyclohydrolase II [Helicobacter pylori]","Metabolism;Metabolism;Metabolism;Metabolism","Global and overview maps;Global and overview maps;Metabolism of cofactors and vitamins;Metabolism of cofactors and vitamins","ko01100//Metabolic pathways;ko01110//Biosynthesis of secondary metabolites;ko00790//Folate biosynthesis;ko00740//Riboflavin metabolism","K14652;K14652;K14652;K14652","-","-","-"
"C2R79_RS00200",40.85,35.18,39.01,301.44,292.25,279.58,81.15,74.79,81.95,76.41,83.36,77.67,220.09,208.24,203.61,188.55,205.12,192.66,147,120,241,709,964,629,545,332,411,471,499,533,528,467,551,686,574,573,"AAEL003481","glycosyltransferase family 25 protein [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS00205",7.94,4.39,6.83,35.3,21.04,26.62,0.61,2.15,0,0.66,1.14,1.19,2.84,1.21,0.5,0,0.97,0,21,11,31,61,51,44,3,7,0,3,5,6,5,2,1,0,2,0,"--","metalloprotease [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS00210",13.77,13.29,12.91,34.96,36.96,31.08,208.66,183.56,201.07,112.29,102.79,116.95,286.5,264.8,297.48,194.99,175.29,195.65,141,129,227,234,347,199,3988,2319,2870,1970,1751,2284,1956,1690,2291,2019,1396,1656,"--","TonB-dependent receptor family protein [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS00215",32.57,41.24,41.36,72.77,63.97,52.1,55.86,63.91,60.3,24.34,24.28,23.57,71.34,76.32,78.84,59.93,68.7,48.09,50,60,109,73,90,50,160,121,129,64,62,69,73,73,91,93,82,61,"acpS","holo-ACP synthase [Helicobacter pylori]","Metabolism","Metabolism of cofactors and vitamins","ko00770//Pantothenate and CoA biosynthesis","K00997","-","-","-"
"C2R79_RS00220",100.7,92.01,95.71,168.26,152.16,167.14,221.49,253.45,231.88,87.32,96.77,86.61,315.4,359.7,277.36,207.55,254.67,208.01,239,207,390,261,331,248,981,742,767,355,382,392,499,532,495,498,470,408,"fliL","flagellar basal body-associated protein FliL [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS00225",12.34,10.99,13.48,23.61,23.99,20.36,64.07,69.42,77.21,29.95,28.52,23.26,66.54,89.13,68.22,43.49,45.63,55.54,32,27,60,40,57,33,310,222,279,133,123,115,115,144,133,114,92,119,"--","16S rRNA (guanine(966)-N(2))-methyltransferase RsmD [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS00230",23.47,16.51,29,45.71,56.65,37.54,15.25,24.79,20.92,6.64,4.7,7.46,32.01,18.26,18.92,14.77,21.04,7.75,33,22,70,42,73,33,40,43,41,16,11,20,30,16,20,21,23,9,"--","dihydroneopterin aldolase [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS00240",7.59,4.85,7.37,7.04,4.27,5.15,44.5,42.34,41.43,36.26,37.2,32.69,59.01,49.84,46.2,48.7,61.54,44.54,33,20,55,20,17,14,361,227,251,270,269,271,171,135,151,214,208,160,"--","class I SAM-dependent methyltransferase [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS00245",598.36,573.33,590.74,854.52,850.33,803.05,144.6,162.62,143.66,108.32,100.69,119.8,200.42,181.18,166.66,195.06,205.21,175.32,1590,1444,2695,1484,2071,1334,717,533,532,493,445,607,355,300,333,524,424,385,"ML0493","MBL fold metallo-hydrolase [Helicobacter pylori]","Metabolism;Metabolism","Global and overview maps;Carbohydrate metabolism","ko01100//Metabolic pathways;ko00620//Pyruvate metabolism","K01069;K01069","-","-","-"
"C2R79_RS00250",162.01,158.79,176.39,366.52,367.07,375.9,712.08,672.2,646.23,504.93,559.68,535.99,793.2,890.29,828.41,953.46,1012.59,956.39,535,497,1000,791,1111,776,4388,2738,2974,2856,3074,3375,1746,1832,2057,3183,2600,2610,"ubaA","HesA/MoeB/ThiF family protein [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS00255",363.28,376.93,370.69,172.87,201.95,174.96,509.95,495,441.78,306.12,357.7,348.73,440.41,558.87,511.9,367.97,384.51,370.14,1209,1189,2118,376,616,364,3167,2032,2049,1745,1980,2213,977,1159,1281,1238,995,1018,"motA","flagellar motor stator protein MotA [Helicobacter pylori]","Environmental Information Processing;Cellular Processes;Cellular Processes","Signal transduction;Cell motility;Cell motility","ko02020//Two-component system;ko02040//Flagellar assembly;ko02030//Bacterial chemotaxis","K02556;K02556;K02556","-","-","-"
"C2R79_RS00260",190.78,175.72,180.09,84.79,87.56,78.96,413.33,316.95,378.09,268.55,270.01,279.67,299.84,292.55,331.45,215.97,206.02,230.49,630,550,1021,183,265,163,2547,1291,1740,1519,1483,1761,660,602,823,721,529,629,"motB","flagellar motor protein MotB [Helicobacter pylori]","Cellular Processes;Cellular Processes","Cell motility;Cell motility","ko02040//Flagellar assembly;ko02030//Bacterial chemotaxis","K02557;K02557","-","-","-"
"C2R79_RS00265",60,70.59,65.26,25.19,31.28,29.73,66.3,52.52,61.72,34.41,35.76,29.52,50.18,65.61,57.2,33.09,34.83,48.19,113,126,211,31,54,35,233,122,162,111,112,106,63,77,81,63,51,75,"--","Uncharacterised protein [Helicobacter pylori NCTC 11637 = CCUG 17874 = ATCC 43504] [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS00270",33.58,32.18,35.78,80.29,69.62,65.81,177.8,175.62,186.26,110.94,116.19,110.01,249.18,249.71,240.44,194.76,210.92,212.17,240,218,439,375,456,294,2371,1548,1855,1358,1381,1499,1187,1112,1292,1407,1172,1253,"opuCC","ABC transporter permease subunit [Helicobacter pylori]","Environmental Information Processing","Membrane transport","ko02010//ABC transporters","K05845","-","-","-"
"C2R79_RS00275",11.23,10.32,8.23,18.85,18.58,13.33,27.76,22.03,28.07,9.09,10.45,7.6,41.85,34.88,37.58,25.8,24.69,29.81,31,27,39,34,47,23,143,75,108,43,48,40,77,60,78,72,53,68,"opuBA","ABC transporter ATP-binding protein [Helicobacter pylori]","Environmental Information Processing","Membrane transport","ko02010//ABC transporters","K05847","-","-","-"
"C2R79_RS00280",24.55,54.53,53.43,67.22,74.71,105.41,0.69,2.09,2.78,0,0,0.68,0,0,1.72,0,0,1.56,19,40,71,34,53,51,1,2,3,0,0,1,0,0,1,0,0,1,"--","hypothetical protein [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS00285",110.24,120.56,105.85,187.94,187.29,207.76,372.27,367.71,390.11,174.87,175.54,159.72,531.66,471.78,457.92,279.35,326.94,313.09,219,227,361,244,341,258,1380,901,1080,595,580,605,704,584,684,561,505,514,"--","Uncharacterised protein [Helicobacter pylori NCTC 11637 = CCUG 17874 = ATCC 43504] [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS00290",16.81,17.32,17.53,31.9,33.83,32.72,60.4,45.74,58.15,12.93,13.79,12.85,68.41,59.59,68.1,23.97,22.12,28.38,129,126,231,160,238,157,865,433,622,170,176,188,350,285,393,186,132,180,"uvrC","excinuclease ABC subunit UvrC [Helicobacter pylori]","Genetic Information Processing","Replication and repair","ko03420//Nucleotide excision repair","K03703","-","-","-"
"C2R79_RS00295",86.53,83.92,84.96,229.09,213.66,223.92,154.16,140.89,152.78,86.77,82.28,85.26,181.06,165.68,185.43,162.09,153.1,175.39,471,433,794,815,1066,762,1566,946,1159,809,745,885,657,562,759,892,648,789,"hom","homoserine dehydrogenase [Helicobacter pylori]","Metabolism;Metabolism;Metabolism;Metabolism;Metabolism;Metabolism;Metabolism","Global and overview maps;Global and overview maps;Global and overview maps;Global and overview maps;Amino acid metabolism;Amino acid metabolism;Amino acid metabolism","ko01100//Metabolic pathways;ko01110//Biosynthesis of secondary metabolites;ko01120//Microbial metabolism in diverse environments;ko01230//Biosynthesis of amino acids;ko00270//Cysteine and methionine metabolism;ko00260//Glycine, serine and threonine metabolism;ko00300//Lysine biosynthesis","K00003;K00003;K00003;K00003;K00003;K00003;K00003","-","-","-"
"C2R79_RS00300",4.04,2.84,4.32,5.16,5.88,6.47,9.75,6.01,9.67,3.15,2.84,1.77,10.11,6.49,8.97,6,4.33,6.53,6,4,11,5,8,6,27,11,20,8,7,5,10,6,10,9,5,8,"HPAG1_0809","YraN family protein [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS00305",2090.24,2151.77,2157.32,2669.5,2709.78,2801.22,2790.79,2741.89,2802.16,1923.32,2211.55,1956.8,3179.22,2985.78,3396.47,3184.91,2951.89,2661.65,2885,2815,5112,2408,3428,2417,7188,4668,5390,4547,5077,5150,2925,2568,3525,4444,3168,3036,"trxA","thioredoxin [Helicobacter pylori]","Organismal Systems","Immune system","ko04621//NOD-like receptor signaling pathway","K03671","-","GO:0015036//disulfide oxidoreductase activity","GO:0019725//cellular homeostasis;GO:0044710//single-organism metabolic process"
"C2R79_RS00310",2929.25,2907.48,2891.96,4484.75,4368.16,4396.37,2953.59,2812.53,2867.84,1819.81,1805.52,1733.09,3322.37,3085.87,3547.97,2795.78,2533.42,2524.66,11789,11091,19982,11796,16113,11061,22182,13962,16085,12545,12086,13300,8913,7739,10737,11375,7928,8397,"trxB","thioredoxin-disulfide reductase [Helicobacter pylori]","Metabolism","Metabolism of other amino acids","ko00450//Selenocompound metabolism","K00384","-","-","-"
"C2R79_RS00315",97.54,106.48,102.3,199.71,208.84,212.39,282.19,263.28,265.39,161.12,153.73,146.36,235.98,215.79,284.18,124.37,113.84,129.62,346,358,623,463,679,471,1868,1152,1312,979,907,990,558,477,758,446,314,380,"AAEL003481","glycosyltransferase family 25 protein [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS00320",46.7,67.99,54.4,171.5,192.6,195.73,35.54,34.83,34.18,34.9,21.34,18.12,54.65,38.97,58.38,34.18,31.23,14.69,50,69,100,120,189,131,71,46,51,64,38,37,39,26,47,37,26,13,"CSTF2T","RNA-binding protein [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS00325",400.6,410.39,420.12,812.05,864.82,774.1,1466.83,1451.91,1503.16,1059.91,1092.55,1088.4,1729.13,1788.29,1728.6,1393.49,1418.65,1401.31,1173,1139,2112,1554,2321,1417,8015,5244,6134,5316,5321,6077,3375,3263,3806,4125,3230,3391,"atpB","F0F1 ATP synthase subunit A [Helicobacter pylori]","Metabolism;Metabolism;Metabolism","Global and overview maps;Energy metabolism;Energy metabolism","ko01100//Metabolic pathways;ko00190//Oxidative phosphorylation;ko00195//Photosynthesis","K02108;K02108;K02108","GO:0031224//intrinsic component of membrane;GO:0033177//proton-transporting two-sector ATPase complex, proton-transporting domain","GO:0015077//monovalent inorganic cation transmembrane transporter activity;GO:0019829//cation-transporting ATPase activity","GO:0015986//ATP synthesis coupled proton transport"
